pais,Variable,Relativamente Baja,Media-Baja,Media-Alta,Alta
Belice,temperatura_c,7.76,27.7,20.95,43.6
Costa Rica,temperatura_c,35.39,26.09,25.03,13.5
El Salvador,temperatura_c,5.09,20.43,26.14,48.33
Guatemala,temperatura_c,40.31,19.94,13.59,26.17
Honduras,temperatura_c,39.07,29.17,16.28,15.47
Nicaragua,temperatura_c,7.7,26.17,33.35,32.78
Panamá,temperatura_c,13.77,23.93,42.37,19.93
Belice,precipitacion_mensual_mm,22.43,36.8,33.38,7.39
Costa Rica,precipitacion_mensual_mm,16.17,18.2,21.21,44.42
El Salvador,precipitacion_mensual_mm,43.3,15.67,20.26,20.77
Guatemala,precipitacion_mensual_mm,29.57,25.02,26.37,19.04
Honduras,precipitacion_mensual_mm,28.45,28.58,28.12,14.85
Nicaragua,precipitacion_mensual_mm,24.3,28.71,24.5,22.49
Panamá,precipitacion_mensual_mm,15.28,16.57,20.39,47.77
